Fecha,Magnitud,Latitud,Longitud,Profundidad,Localizacion
2023-08-31,4.2,16.81,-94.87,93.8,"MATIAS ROMERO, OAX"
2023-08-31,3.2,15.94,-97.07,29.4,"PUERTO ESCONDIDO, OAX"
2023-08-31,3.7,18.07,-103.25,5.2,"COALCOMAN, MICH"
2023-08-31,4.1,14.29,-93.06,8.1,"CD HIDALGO, CHIS"
2023-08-31,3.5,15.86,-97.32,2.7,"RIO GRANDE, OAX"
2023-08-31,3.3,16.21,-98.14,9.0,"PINOTEPA NACIONAL, OAX"
2023-08-31,3.8,15.11,-97.46,10.0,"PUERTO ESCONDIDO, OAX"
2023-08-31,3.6,30.73,-114.4,5.1,"SAN FELIPE, BC"
2023-08-31,4.1,14.81,-93.28,13.8,"MAPASTEPEC, CHIS"
2023-08-31,3.7,15.51,-95.72,5.2,"CRUCECITA, OAX"
2023-08-31,3.7,32.44,-115.04,10.7,"GPE VICTORIA(KM.43), BC"
2023-08-31,3.5,17.93,-103.21,8.6,"LA MIRA, MICH"
2023-08-31,3.5,31.61,-114.41,16.1,"SAN FELIPE, BC"
2023-08-31,4.0,19.34,-104.46,62.8,"CIHUATLAN, JAL"
2023-08-31,3.9,19.1,-104.81,6.3,"CIHUATLAN, JAL"
2023-08-31,3.5,31.64,-115.96,23.5,"RODOLFO SANCHEZ T(MRO), BC"
2023-08-31,3.8,32.42,-115.05,14.5,"GPE VICTORIA(KM.43), BC"
2023-08-31,3.6,32.41,-115.07,11.6,"GPE VICTORIA(KM.43), BC"
2023-08-31,3.8,18.67,-104.05,6.7,"CD DE ARMERIA, COL"
2023-08-31,3.3,31.56,-115.61,21.5,"RODOLFO SANCHEZ T(MRO), BC"
2023-08-31,3.8,14.1,-92.04,31.9,"CD HIDALGO, CHIS"
2023-08-31,3.4,19.54,-102.49,2.0,"LOS REYES DE SALGADO, MICH"
2023-08-31,3.9,29.34,-115.7,10.0,"LAZARO CARDENAS, BC"
2023-08-31,3.7,16.14,-97.6,13.9,"RIO GRANDE, OAX"
2023-08-31,3.9,16.88,-99.81,13.5,"ACAPULCO, GRO"
2023-08-31,3.2,17.94,-98.61,52.3,"CHIAUTLA DE TAPIA, PUE"
2023-08-31,3.7,14.09,-92.44,12.1,"CD HIDALGO, CHIS"
2023-08-31,3.8,32.41,-115.09,17.2,"GPE VICTORIA(KM.43), BC"
2023-08-31,3.7,32.38,-115.1,14.5,"GPE VICTORIA(KM.43), BC"
2023-08-31,3.5,15.43,-98.33,16.1,"PINOTEPA NACIONAL, OAX"
2023-08-31,3.1,30.82,-115.29,11.2,"SAN FELIPE, BC"
2023-08-31,3.0,16.81,-99.75,5.0,"ACAPULCO, GRO"
2023-08-31,3.6,15.32,-94.74,16.6,"SALINA CRUZ, OAX"
2023-08-31,3.9,14.43,-93.76,10.0,"MAPASTEPEC, CHIS"
2023-08-31,3.5,32.4,-115.05,13.0,"GPE VICTORIA(KM.43), BC"
2023-08-31,3.0,19.4,-104.12,5.0,"COQUIMATLAN, COL"
2023-08-31,3.8,15.78,-96.41,36.8,"S PEDRO POCHUTLA, OAX"
2023-08-31,3.3,19.36,-104.09,9.9,"COQUIMATLAN, COL"
2023-08-31,4.0,17.67,-94.85,129.0,"SAYULA DE ALEMAN, VER"
2023-08-31,1.4,22.79,-102.6,2.0,"ZACATECAS, ZAC"
2023-08-31,3.9,32.41,-115.05,13.9,"GPE VICTORIA(KM.43), BC"
2023-08-31,3.4,16.92,-99.46,30.3,"SAN MARCOS, GRO"
2023-08-31,3.4,15.98,-97.63,16.1,"RIO GRANDE, OAX"
2023-08-31,3.5,18.96,-104.28,10.7,"MANZANILLO, COL"
2023-08-31,3.6,14.7,-93.27,16.3,"MAPASTEPEC, CHIS"
2023-09-01,3.8,15.95,-96.35,6.0,"S PEDRO POCHUTLA, OAX"
2023-09-01,3.5,16.82,-100.32,7.9,"COYUCA DE BENITEZ, GRO"
2023-09-01,3.6,32.5,-115.92,3.8,"SANTA ISABEL, BC"
2023-09-01,3.9,14.97,-92.82,90.1,"HUIXTLA, CHIS"
2023-09-01,3.4,18.36,-102.94,41.4,"COALCOMAN, MICH"
2023-09-01,3.8,16.05,-98.42,15.0,"PINOTEPA NACIONAL, OAX"
2023-09-01,3.8,32.45,-115.07,14.6,"GPE VICTORIA(KM.43), BC"
2023-09-01,3.5,31.99,-115.09,5.7,"GPE VICTORIA(KM.43), BC"
2023-09-01,3.6,31.92,-115.18,2.8,"GPE VICTORIA(KM.43), BC"
2023-09-01,3.7,16.1,-97.81,5.9,"PINOTEPA NACIONAL, OAX"
2023-09-01,3.6,14.82,-93.24,28.4,"MAPASTEPEC, CHIS"
2023-09-01,3.6,32.01,-115.0,10.0,"GPE VICTORIA(KM.43), BC"
2023-09-01,3.9,14.79,-93.95,16.2,"PIJIJIAPAN, CHIS"
2023-09-01,3.3,20.48,-105.28,5.0,"PUERTO VALLARTA, JAL"
2023-09-01,2.8,16.73,-98.85,6.5,"OMETEPEC, GRO"
2023-09-01,2.7,16.61,-98.85,19.3,"OMETEPEC, GRO"
2023-09-01,4.0,13.81,-91.74,28.2,"CD HIDALGO, CHIS"
2023-09-01,4.1,14.83,-94.13,24.2,"PIJIJIAPAN, CHIS"
2023-09-01,3.6,16.57,-99.3,6.9,"SAN MARCOS, GRO"
2023-09-01,3.5,16.59,-98.42,19.6,"OMETEPEC, GRO"
2023-09-01,3.0,16.65,-99.0,12.7,"SAN MARCOS, GRO"
2023-09-01,3.3,16.6,-99.26,6.7,"SAN MARCOS, GRO"
2023-09-01,3.3,16.65,-99.29,3.7,"SAN MARCOS, GRO"
2023-09-01,3.1,16.79,-98.42,12.4,"OMETEPEC, GRO"
2023-09-01,3.4,18.06,-102.94,4.3,"LA MIRA, MICH"
2023-09-01,3.1,16.53,-98.49,16.2,"OMETEPEC, GRO"
2023-09-01,3.1,18.25,-103.38,34.6,"COALCOMAN, MICH"
2023-09-01,3.8,17.35,-94.97,131.5,"MATIAS ROMERO, OAX"
2023-09-01,3.7,16.86,-100.25,2.0,"COYUCA DE BENITEZ, GRO"
2023-09-01,3.7,25.51,-109.88,5.0,"AHOME, SIN"
2023-09-01,3.0,17.75,-99.1,62.1,"CHILAPA DE ALVAREZ, GRO"
2023-09-01,3.7,15.42,-94.67,17.2,"SALINA CRUZ, OAX"
2023-09-01,2.9,15.97,-96.26,65.6,"CRUCECITA, OAX"
2023-09-01,3.4,16.83,-100.2,12.7,"COYUCA DE BENITEZ, GRO"
2023-09-01,4.0,15.89,-94.35,77.1,"ARRIAGA , CHIS"
2023-09-01,1.2,22.79,-102.59,2.0,"ZACATECAS, ZAC"
2023-09-01,1.2,22.78,-102.58,2.0,"ZACATECAS, ZAC"
2023-09-01,3.6,16.49,-94.52,108.5,"UNION HIDALGO, OAX"
