Suma,Media,Mediana,Moda,Max,Min
55.1,3.06,3.15,3.4,3.8,1.7
286.7,3.63,3.7,3.6,4.1,2.8
18676.7,3.62,3.6,3.5,6.5,2.3
13772.7,3.78,3.8,3.8,5.7,2.9
33076.7,3.59,3.6,3.5,7.7,1.9
50.3,3.59,3.7,3.3,4.0,2.3
326.2,3.79,3.8,3.9,4.9,3.2
11.1,3.7,3.6,3.5,4.0,3.5
83.0,3.61,3.5,3.4,4.5,3.2
553.4,3.4,3.4,3.4,4.9,2.6
36.2,4.02,4.2,3.6,5.1,3.2
15.5,3.88,3.9,4.1,4.1,3.6
54.1,3.86,3.7,3.7,4.4,3.5
116.0,3.87,3.8,3.8,5.0,3.4
4.1,4.1,4.1,4.1,4.1,4.1
41.3,3.44,3.4,3.7,3.9,3.0
3.5,3.5,3.5,3.5,3.5,3.5
7342.8,3.36,3.4,3.4,6.1,2.2
3.7,3.7,3.7,3.7,3.7,3.7
30.0,3.75,3.6,3.6,4.3,3.5
44.1,3.68,3.7,3.7,4.2,2.6
22.2,3.7,3.8,3.8,3.9,3.1
19.3,3.86,3.9,4.0,4.0,3.6
82.0,3.73,3.75,3.8,4.3,3.2
78.8,2.02,2.0,1.8,3.1,1.0
22401.7,3.57,3.5,3.5,6.1,1.9
19078.7,3.81,3.8,3.8,7.4,1.9
12.4,2.48,2.1,1.9,3.3,1.9
4.4,2.2,2.2,1.8,2.6,1.8
162.7,3.97,4.0,4.0,4.6,3.4
2.8,2.8,2.8,2.8,2.8,2.8
24.8,3.54,3.5,3.4,4.0,3.3
7.4,3.7,3.7,3.6,3.8,3.6
88.7,3.41,3.5,3.5,3.7,2.4
212.3,3.66,3.6,3.5,4.6,2.9
99.1,3.67,3.6,3.6,4.2,3.1
232.6,3.88,3.8,3.8,4.8,3.5
32.4,4.05,4.05,4.1,4.4,3.8
342.6,3.89,3.85,3.7,5.4,3.1
3.7,3.7,3.7,3.7,3.7,3.7
312.0,3.43,3.4,3.4,4.4,2.2
1844.5,3.38,3.4,3.4,5.1,2.3
10.2,3.4,3.3,2.8,4.1,2.8
10.8,3.6,3.7,3.1,4.0,3.1
31.0,3.88,3.85,3.8,4.2,3.3
10.6,3.53,3.7,3.1,3.8,3.1
41.5,3.77,3.8,3.7,4.2,3.4
121.5,4.34,4.2,4.2,5.6,3.5
69.6,3.48,3.5,3.3,3.7,3.3
15.4,3.85,3.85,3.7,4.0,3.7
6.4,3.2,3.2,3.2,3.2,3.2
1542.9,3.2,3.4,3.5,4.6,1.7
7.699999999999999,3.85,3.85,3.8,3.9,3.8
28.599999999999998,4.09,4.1,4.1,4.3,3.7
19.2,3.84,3.7,3.3,4.9,3.3
75.9,3.8,3.7,3.6,4.9,3.3
4.6,4.6,4.6,4.6,4.6,4.6
11.8,3.93,3.9,3.8,4.1,3.8
29.0,4.14,4.2,4.0,4.4,3.9
25.900000000000002,3.7,3.7,3.4,4.2,3.4
22.0,3.67,3.7,3.7,3.9,3.3
34.6,3.84,3.7,3.7,4.3,3.7
1383.1,3.93,3.9,3.8,7.5,3.0
197.7,4.12,4.1,4.2,4.8,3.6
204.0,3.92,3.9,3.9,6.1,2.9
193.9,4.04,4.0,4.0,5.0,3.5
7.1,3.55,3.55,3.5,3.6,3.5
43.4,3.62,3.65,3.7,3.8,3.4
11.5,3.83,3.9,3.9,3.9,3.7
10596.9,3.53,3.6,3.6,6.4,2.0
14.8,3.7,3.65,3.6,3.9,3.6
54.4,1.55,1.5,1.2,2.9,0.6
77.5,3.88,3.8,3.8,4.7,3.5
3.6,3.6,3.6,3.6,3.6,3.6
337.2,4.06,3.9,3.8,5.8,3.3
940.7,3.95,3.9,3.7,6.8,2.5
29.1,2.65,2.9,2.9,3.8,1.1
45.7,4.15,4.2,3.9,4.5,3.6
232.9,4.16,4.1,4.1,5.2,2.8
1996.4,3.64,3.6,3.5,5.5,2.7
1504.5,3.49,3.4,3.3,5.9,2.6
47.4,3.65,3.8,3.0,4.6,2.9
7.300000000000001,3.65,3.65,3.6,3.7,3.6
2352.1,3.4,3.4,3.3,6.0,2.7
115.5,3.73,3.7,3.9,4.4,3.3
48.2,3.21,3.3,2.8,3.6,2.7
13.399999999999999,3.35,3.35,3.3,3.4,3.3
751.6,2.8,2.7,2.5,4.3,1.8
29.3,3.66,3.7,3.9,3.9,3.3
11.3,3.77,3.7,3.6,4.0,3.6
109.1,4.36,4.3,3.6,6.5,3.5
19.1,3.82,3.8,3.8,4.2,3.5
3.9,3.9,3.9,3.9,3.9,3.9
71.5,3.25,3.3,3.4,4.1,2.4
15.0,3.75,3.75,3.7,3.8,3.7
2396.1,3.84,3.8,3.8,5.9,3.0
2.1,2.1,2.1,2.1,2.1,2.1
203.2,3.83,3.8,4.0,4.5,3.2
10110.8,3.77,3.7,3.7,7.2,2.2
946.6,3.52,3.5,3.5,4.3,2.9
7.6,3.8,3.8,3.8,3.8,3.8
9.6,4.8,4.8,3.9,5.7,3.9
1215.5,3.81,3.8,3.7,6.4,3.0
220.2,3.19,3.1,3.0,4.5,2.2
7.3,3.65,3.65,3.5,3.8,3.5
230.5,3.84,3.8,3.8,5.6,3.4
7.0,3.5,3.5,3.4,3.6,3.4
7.0,3.5,3.5,3.5,3.5,3.5
426.1,3.64,3.7,3.7,4.5,2.5
48.7,2.03,2.1,2.1,3.4,1.0
25.4,2.12,2.2,2.1,3.1,1.0
47.9,3.42,3.5,3.3,3.8,2.4
2183.2,3.74,3.7,3.7,5.0,3.0
14.5,3.62,3.55,3.4,4.0,3.4
49.0,4.08,4.1,4.1,4.7,3.6
2343.1,3.81,3.8,3.8,5.1,3.0
3.7,3.7,3.7,3.7,3.7,3.7
3.8,3.8,3.8,3.8,3.8,3.8
8.2,4.1,4.1,3.8,4.4,3.8
30.0,2.31,2.2,2.0,3.4,1.5
9.5,3.17,3.3,2.5,3.7,2.5
11.2,3.73,3.8,3.8,3.8,3.6
6.699999999999999,3.35,3.35,3.3,3.4,3.3
22.700000000000003,3.78,3.7,3.7,4.4,3.4
37.2,3.38,3.4,3.4,3.7,2.6
265.3,3.54,3.7,3.8,4.4,1.9
34.9,3.88,4.0,4.0,4.1,3.5
27.5,3.93,4.0,3.6,4.2,3.6
3.9,3.9,3.9,3.9,3.9,3.9
3.6,3.6,3.6,3.6,3.6,3.6
9.6,3.2,3.3,2.8,3.5,2.8
10485.3,3.7,3.7,3.7,5.1,2.9
40.9,3.15,3.1,2.9,4.3,2.2
57.7,4.44,4.3,3.8,5.6,3.8
4.1,4.1,4.1,4.1,4.1,4.1
10.8,3.6,3.6,3.5,3.7,3.5
25.6,3.66,3.7,3.7,3.7,3.6
73.0,1.78,1.6,1.3,3.8,0.8
5275.5,3.88,3.8,3.8,8.1,3.0
23.6,3.93,3.95,3.6,4.2,3.6
1855.4,3.73,3.7,3.5,6.5,2.4
7.4,3.7,3.7,3.6,3.8,3.6
3.9,3.9,3.9,3.9,3.9,3.9
3.9,3.9,3.9,3.9,3.9,3.9
2530.0,3.84,3.8,3.9,6.7,3.1
2347.1,3.87,3.8,3.7,7.3,2.7
964.0,3.95,3.9,3.8,5.5,3.1
72.6,3.63,3.6,3.6,4.4,3.1
246.29999999999998,3.91,3.9,3.9,5.1,3.4
1712.4,3.54,3.5,3.4,5.1,2.6
18.8,3.76,3.7,4.0,4.0,3.5
27.799999999999997,3.97,3.9,3.9,4.6,3.6
18.6,3.72,3.8,3.8,3.9,3.4
490.4,3.38,3.4,3.5,4.3,2.3
399.4,3.8,3.8,3.8,5.6,3.4
77.1,3.67,3.6,3.6,4.3,3.3
1234.6,4.06,4.0,4.0,6.6,2.3
1059.0,3.95,3.8,3.8,6.6,3.0
18.2,3.03,3.25,2.1,3.6,2.1
6.6,3.3,3.3,3.2,3.4,3.2
10.6,3.53,3.9,3.9,3.9,2.8
1376.3,3.62,3.6,3.7,4.4,2.7
216.9,4.25,4.2,4.4,6.6,3.0
96.0,4.0,3.9,3.9,4.5,3.7
95.9,3.84,3.9,4.0,4.3,3.1
609.6,3.59,3.6,3.5,4.5,3.0
68.6,3.61,3.7,3.7,3.8,3.3
7.2,3.6,3.6,3.5,3.7,3.5
102.7,3.95,4.0,4.0,4.8,2.8
8796.8,3.49,3.4,3.4,8.0,2.3
24254.9,3.8,3.8,3.7,6.3,2.8
67.4,3.96,3.9,3.8,4.7,3.5
3.7,3.7,3.7,3.7,3.7,3.7
8.5,4.25,4.25,4.2,4.3,4.2
152.5,3.81,3.8,3.7,4.4,3.4
34037.7,3.74,3.7,3.7,6.9,3.0
229.1,4.32,4.2,4.2,6.2,2.3
2.7,2.7,2.7,2.7,2.7,2.7
6.199999999999999,3.1,3.1,2.9,3.3,2.9
