Suma,Media,Mediana,Moda,Max,Min
19262.2,3.72,3.7,3.6,6.0,2.8
3.8,3.8,3.8,3.8,3.8,3.8
1631.6,3.65,3.7,3.7,4.2,3.0
105.4,2.11,2.15,2.2,3.5,1.0
6.4,3.2,3.2,3.1,3.3,3.1
176.9,4.11,4.0,4.1,5.5,3.6
7.4,2.47,2.3,2.0,3.1,2.0
10.4,3.47,3.5,3.2,3.7,3.2
68.5,3.81,3.8,3.5,4.4,3.5
22.099999999999998,3.68,3.7,3.8,4.1,3.3
3.9,3.9,3.9,3.9,3.9,3.9
11.4,3.8,3.8,3.6,4.0,3.6
3.7,3.7,3.7,3.7,3.7,3.7
16.1,2.3,2.1,1.1,3.2,1.1
646.7,3.85,3.75,3.7,6.8,3.0
195.6,3.91,3.9,3.8,4.8,3.2
9472.2,3.43,3.5,3.5,6.2,1.8
4.2,4.2,4.2,4.2,4.2,4.2
18.6,3.72,3.6,3.6,4.3,3.4
2873.4,3.35,3.4,3.4,4.7,2.4
3.6,3.6,3.6,3.6,3.6,3.6
27.4,3.91,3.9,3.9,4.1,3.7
1612.4,3.79,3.7,3.7,5.7,3.1
11.7,3.9,4.0,4.0,4.0,3.7
7.1,3.55,3.55,3.5,3.6,3.5
32.5,3.61,3.6,3.4,3.9,3.1
26.2,3.28,3.0,3.0,4.5,2.8
15.200000000000001,3.8,3.65,3.5,4.4,3.5
3.8,3.8,3.8,3.8,3.8,3.8
20.8,2.97,3.4,1.4,4.3,1.4
53.3,3.81,3.8,3.8,4.4,3.5
3.7,3.7,3.7,3.7,3.7,3.7
20.7,2.59,2.6,2.6,3.4,1.0
62.7,3.48,3.55,3.7,3.9,2.0
9.2,3.07,3.5,3.5,3.5,2.2
61.5,3.62,3.6,3.6,3.8,3.4
3.6,3.6,3.6,3.6,3.6,3.6
250.4,3.85,3.8,3.9,4.6,3.3
34.1,2.44,2.4,1.4,3.8,1.2
133.0,3.32,3.45,3.5,3.8,2.3
7.2,3.6,3.6,3.5,3.7,3.5
4.0,4.0,4.0,4.0,4.0,4.0
149.6,3.56,3.5,3.3,5.1,3.0
15.6,3.9,3.9,3.6,4.2,3.6
682.6,1.54,1.4,1.2,3.9,0.6
14.0,3.5,3.4,3.2,4.0,3.2
10.3,3.43,3.4,3.4,3.5,3.4
7.0,3.5,3.5,3.5,3.5,3.5
60.9,3.81,3.75,3.5,4.3,3.3
14.8,3.7,3.8,4.0,4.0,3.2
14.2,3.55,3.45,3.2,4.1,3.2
26.1,3.73,3.7,3.6,4.0,3.6
65.1,3.62,3.6,3.4,4.5,3.1
8821.9,3.79,3.7,3.7,7.6,2.4
126.6,3.72,3.8,3.8,4.2,2.8
43.199999999999996,3.93,3.9,4.1,4.2,3.6
21.7,2.41,2.2,2.1,3.4,2.0
2001.6,3.59,3.6,3.6,6.5,2.9
